Time(microseconds),Data_set 0,Data_set 1,Data_set 2,Data_set 3,Data_set 4,Data_set 5,Data_set 6
750.071875,600,600,600,600,600,600,600
758.89625,600,600,600,600,600,600,600
767.720625,600,600,600,600,600,600,600
776.545,600,600,600,600,600,600,600
785.369375,600,600,600,600,600,600,600
794.19375,600,600,600,600,600,600,600
803.0181249999999,600,600,600,600,600,600,600
811.8425,600,600,600,600,600,600,600
820.666875,600,600,600,600,600,600,600
829.49125,600,600,600,600,600,600,600
838.315625,600,600,600,600,600,600,600
847.14,600,600,600,600,600,600,600
855.964375,600,600,600,600,600,600,600
864.7887499999999,600,600,600,600,600,600,600
873.613125,600,600,600,600,600,600,600
882.4375,600,600,600,600,600,600,600
891.261875,600,600,600,600,600,600,600
900.08625,600,600,600,600,600,600,600
908.910625,600,600,600,600,600,600,600
917.735,600,600,600,600,600,600,600
926.5593749999999,600,600,600,600,600,600,600
935.38375,600,600,600,600,600,600,600
944.208125,600,600,600,600,600,600,600
953.0325,600,600,600,600,600,600,600
961.856875,600,600,600,600,600,600,600
970.68125,600,600,600,600,600,600,600
979.505625,600,600,600,600,600,600,600
988.3299999999999,600,600,600,600,600,600,600
997.154375,600,600,600,600,600,600,600
1005.97875,600,600,600,600,600,600,600
1014.803125,600,600,600,600,600,600,600
1023.6274999999999,600,600,600,600,600,600,600
1032.451875,600,600,600,600,600,600,600
1041.27625,600,600,600,600,600,600,600
1050.100625,600,600,600,600,600,600,600
1058.925,600,600,600,600,600,600,600
1067.7493749999999,600,600,600,600,600,600,600
1076.57375,600,600,600,600,600,600,600
1085.398125,600,600,600,600,600,600,600
1094.2225,600,600,600,600,600,600,600
1103.046875,600,600,600,600,600,600,600
1111.87125,600,600,600,600,600,600,600
1120.695625,600,600,600,600,600,600,600
1129.52,600,600,600,600,600,600,600
1138.344375,600,600,600,600,600,600,600
1147.16875,600,600,600,600,600,600,600
1155.993125,600,600,600,600,600,600,600
1164.8174999999999,600,600,600,600,600,600,600
1173.641875,600,600,600,600,600,600,600
1182.46625,600,600,600,600,600,600,600
1191.290625,600,600,600,600,600,600,600
1200.115,600,600,600,600,600,600,600
1208.939375,600,600,600,600,600,600,600
1217.76375,600,600,600,600,600,600,600
1226.588125,600,600,600,600,600,600,600
1235.4125,600,600,600,600,600,600,600
1244.236875,600,600,600,600,600,600,600
1253.06125,600,598,600,600,600,600,600
1261.885625,600,600,600,600,598,598,600
1270.71,600,600,600,598,600,600,600
1279.534375,600,600,600,600,600,600,600
1288.3587499999999,600,600,598,600,600,598,600
1297.183125,600,600,598,600,600,600,600
1306.0075,598,600,600,598,598,598,600
1314.831875,600,600,600,600,600,600,600
1323.65625,598,600,600,600,598,600,600
1332.480625,600,600,600,598,598,598,600
1341.305,600,600,600,600,600,600,600
1350.129375,600,600,600,600,600,598,600
1358.95375,600,598,600,598,600,600,600
1367.778125,600,600,600,598,598,600,600
1376.6025,600,600,600,598,600,600,600
1385.4268749999999,598,600,600,600,598,600,600
