Time(microseconds),Average Signal
932,-11.212171077457338
940,-10.650578908650917
948,-10.088437975818383
956,-9.525822159993147
964,-8.962805679939486
972,-8.399459596792031
980,-7.8358435883418345
988,-7.272014514843814
996,-6.708029236553571
1004,-6.143944613726241
1012,-5.579817506617079
1020,-5.015704775481453
1028,-4.451663280574518
1036,-3.887749882151745
1044,-3.3240214404680515
1052,-2.7605348157794936
1060,-2.197346868340638
1068,-1.6345144584070788
1076,-1.072094446233848
1084,-0.5101436920765501
1092,0.05128094380978965
1100,0.61212260116924
1108,1.1723244197475644
1116,1.7318295392885972
1124,2.290581099537544
1132,2.848522240239028
1140,3.4055961011372204
1149,3.9617458219777824
1157,4.516914542504892
1165,5.071045402463174
1173,5.624081541597381
1181,6.17596609965236
1189,6.7266422163727455
1197,7.276053031503398
1205,7.824141684788721
1213,8.370851315973685
1221,8.916125064802802
1229,9.45990607102117
1237,10.002137474372951
1245,10.542762414603125
1253,11.081724031456769
1261,11.61896546467807
1269,12.154429854011763
1277,12.68806033920237
1285,13.21980005999566
1293,13.749592156135122
1301,14.277379767366298
1309,14.803106033433362
1317,15.326714094081172
1325,15.848147089054365
1333,16.36734815809813
1341,16.88426044095654
1349,17.398827077374904
1357,17.910991207097165
1365,18.42069596986887
1373,18.927884505433845
1382,19.432499953537977
1390,19.93448545392488
1398,20.433784146339622
1406,20.930339170527084
1414,21.424093666231762
1422,21.914990773198635
1430,22.402973631172227
1438,22.887985379897273
1446,23.369969159118522
1454,23.848868108580596
1462,24.324625368028137
1470,24.797184077206346
1478,25.26648737585882
1486,25.732478403731548
1494,26.195100300568612
1502,26.654296206114857
1510,27.11000926011504
1518,27.562182602313428
1526,28.010759372455126
1534,28.455682710285096
1542,28.896895755547632
1550,29.334341647987475
1558,29.76796352734971
1566,30.197702819835705
1574,30.623495307185472
1582,31.04527989642784
1590,31.463000269306935
1598,31.87661436759581
1607,32.28608369807441
1615,32.6913778225384
1623,33.09249852284647
1631,33.4894556358737
1639,33.88225899849409
1647,34.27091844758205
1655,34.65544382001268
1663,35.03584495266031
1671,35.412131682399256
1679,35.78431384610427
1687,36.15240128065002
1695,36.5164038229108
1703,36.876331309761184
1711,37.23219357807578
1719,37.58400046472928
1727,37.93176180659597
1735,38.27548744055031
1743,38.6151872034676
1751,38.95087093222149
1759,39.28254846368686
1767,39.61022963473824
1775,39.9339242822503
1783,40.25364224309769
1791,40.56939335415426
1799,40.881187452295684
1807,41.189034374395156
1815,41.49294395732845
1823,41.79292603796955
