Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4
3197.13875,646,608,608,608,606
3205.970625,646,608,608,608,606
3214.8025000000002,646,608,608,608,608
3223.634375,646,608,608,606,608
3232.46625,646,608,608,608,606
3241.2981250000003,646,608,608,608,606
3250.13,646,608,608,608,606
3258.961875,646,608,608,606,606
3267.7937500000003,646,608,606,606,608
3276.625625,646,608,608,608,608
3285.4575,646,608,608,608,608
3294.289375,646,608,606,606,606
3303.12125,646,608,608,608,608
3311.953125,646,608,608,608,608
3320.785,646,608,608,608,606
3329.616875,646,608,608,608,606
3338.44875,646,608,606,608,606
3347.280625,646,608,606,606,606
3356.1125,646,608,608,608,606
3364.944375,646,608,608,606,606
3373.77625,646,608,608,608,606
3382.608125,646,608,606,608,606
3391.44,646,608,606,606,604
3400.271875,646,608,608,606,606
3409.10375,646,608,608,606,606
3417.935625,646,608,606,606,606
3426.7675,646,608,606,606,606
3435.5993750000002,646,608,606,606,606
3444.43125,646,606,608,606,606
3453.263125,646,608,606,606,606
3462.0950000000003,646,606,606,606,606
3470.926875,646,608,606,606,606
3479.75875,646,606,606,606,604
3488.5906250000003,646,606,606,606,606
3497.4225,646,606,606,606,604
3506.254375,646,608,606,606,606
3515.08625,646,608,606,606,606
3523.918125,646,608,606,606,606
3532.75,646,606,606,606,604
3541.581875,646,606,606,604,606
3550.41375,646,606,606,606,606
3559.245625,646,606,606,606,606
3568.0775,646,606,606,606,604
3576.909375,646,608,606,604,606
3585.74125,646,608,606,606,606
3594.573125,646,608,606,606,604
3603.405,646,606,606,606,604
3612.236875,646,606,606,606,604
3621.06875,646,606,606,606,606
3629.900625,646,606,606,606,606
3638.7325,646,606,606,604,604
3647.564375,646,606,608,606,604
3656.3962500000002,646,606,606,606,606
3665.228125,646,606,606,606,604
3674.06,646,606,604,604,604
3682.8918750000003,646,608,606,604,604
3691.72375,646,606,606,604,604
3700.555625,646,606,606,606,606
3709.3875000000003,646,604,604,606,606
3718.219375,646,606,606,606,604
3727.05125,646,608,606,604,604
3735.883125,646,606,606,606,604
3744.715,646,606,606,604,606
3753.546875,646,606,606,604,604
3762.37875,646,606,606,604,606
3771.210625,646,606,606,604,604
3780.0425,646,606,604,604,604
3788.874375,646,608,604,606,604
3797.70625,646,606,604,604,604
3806.538125,646,606,604,604,604
3815.37,646,606,604,606,606
3824.201875,646,606,604,604,604
3833.03375,646,606,604,604,604
3841.865625,646,606,606,606,604
3850.6975,646,606,604,604,604
3859.529375,646,608,606,604,604
3868.36125,646,606,606,604,604
3877.1931250000002,646,606,604,604,604
3886.025,646,604,604,604,604
3894.856875,646,606,604,604,604
3903.6887500000003,646,606,604,604,604
3912.520625,646,606,606,604,604
3921.3525,646,606,604,604,604
